Fecha: 2025-03-03 10:36:38 PM, Id Usuario-Login: 1-ADMINN ADMINP, Accion: Actualizar kardex, Opcion: Recalcular Kardex, Registro: Recalcular Kardex en la fecha : 2025-03-03 22:36:38,IP:127.0.0.1
[2025-03-12 14:29:24] Usuario: 1-ADMINN ADMINP, IP: 127.0.0.1, SQL: DELETE FROM ctb_causa_costos WHERE id = 685
[2025-03-12 14:29:28] Usuario: 1-ADMINN ADMINP, IP: 127.0.0.1, SQL: DELETE FROM ctb_causa_costos WHERE id = 684
[2025-03-12 14:30:10] Usuario: 1-ADMINN ADMINP, IP: 127.0.0.1, SQL: DELETE FROM ctb_causa_costos WHERE id = 686
[2025-03-19 11:35:51] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 6 AND `id_ctb_libaux` = 2726
[2025-03-19 11:37:11] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 6 AND `id_ctb_libaux` = 2798
[2025-03-19 11:37:12] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 6 AND `id_ctb_libaux` = 2799
[2025-03-19 11:37:17] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 6 AND `id_ctb_libaux` = 2801
[2025-03-19 11:37:19] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 6 AND `id_ctb_libaux` = 2802
[2025-03-19 11:57:10] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 6 AND `id_ctb_libaux` = 1919
[2025-03-19 11:57:13] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 6 AND `id_ctb_libaux` = 1921
[2025-03-19 11:57:52] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 6 AND `id_ctb_libaux` = 1919
[2025-03-19 11:57:54] Usuario: 365-ADMINN ADMINP, IP: ::1, SQL: DELETE FROM `tes_conciliacion_detalle` WHERE `id_concilia` = 6 AND `id_ctb_libaux` = 1921
